id,name,spotify_uri
279,Lil Pump,spotify:artist:3wyVrVrFCkukjdVIdirGVY
280,Pearl Jam,spotify:artist:1w5Kfo2jwwIPruYS2UWh56
281,James Bay,spotify:artist:4EzkuveR9pLvDVFNx6foYD
282,Disturbed,spotify:artist:3TOqt5oJwL9BE2NG9MEwDa
283,YG,spotify:artist:0A0FS04o6zMoto8OKPsDwY
284,Amy Winehouse,spotify:artist:6Q192DXotxtaysaqNPy5yR
285,Wisin & Yandel,spotify:artist:1wZtkThiXbVNtj6hee6dz9
286,YNW Melly,spotify:artist:1cNDP5yjU5vjeR8qMf4grg
287,Lil Skies,spotify:artist:7d3WFRME3vBY2cgoP38RDo
288,Nio Garcia,spotify:artist:5hdhHgpxyniooUiQVaPxQ0
289,Kesha,spotify:artist:6LqNN22kT3074XbTVUrhzX
290,Backstreet Boys,spotify:artist:5rSXSAkZ67PYJSvpUpkOr7
291,Aventura,spotify:artist:1qto4hHid1P71emI6Fd8xi
292,Flume,spotify:artist:6nxWCVXbOlEVRexSbLsTer
293,Dr. Dre,spotify:artist:6DPYiyq5kWVQS4RGwxzPC7
294,Miguel,spotify:artist:360IAlyVv4PCEVjgyMZrxK
295,Jul,spotify:artist:3IW7ScrzXmPvZhB27hmfgy
296,Lizzo,spotify:artist:56oDRnqbIiwx4mymNEv7dS
297,Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e
298,ROSALÍA,spotify:artist:7ltDVBr6mKbRvohxheJ9h1
299,Calibre 50,spotify:artist:4jogXSSvlyMkODGSZ2wc2P
300,Phil Collins,spotify:artist:4lxfqrEsLX6N1N4OCSkILp
301,Matheus & Kauan,spotify:artist:2Z0lRIqr997lIUiPtrpKCr
302,Akon,spotify:artist:0z4gvV4rjIZ9wHck67ucSV
303,Jason Aldean,spotify:artist:3FfvYsEGaIb52QPXhg4DcH
304,Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL
305,George Ezra,spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j
306,Yandel,spotify:artist:0eHQ9o50hj6ZDNBt6Ys1sD
307,Prince Royce,spotify:artist:3MHaV05u0io8fQbZ2XPtlC
308,The Offspring,spotify:artist:5LfGQac0EIXyAN8aUwmNAQ
309,Three Days Grace,spotify:artist:2xiIXseIJcq3nG7C8fHeBj
310,Wesley Safadão,spotify:artist:1AL2GKpmRrKXkYIcASuRFa
311,Anderson .Paak,spotify:artist:3jK9MiCrA42lLAdMGUZpwa
312,The Strokes,spotify:artist:0epOFNiUfyON9EYx7Tpr6V
313,Conan Gray,spotify:artist:4Uc8Dsxct0oMqx0P6i60ea
314,Dan + Shay,spotify:artist:7z5WFjZAIYejWy0NI5lv4T
315,Rex Orange County,spotify:artist:7pbDxGE6nQSZVfiFdq9lOL
316,Jeremih,spotify:artist:3KV3p5EY4AvKxOlhGHORLg
317,Cartel De Santa,spotify:artist:07PdYoE4jVRF6Ut40GgVSP
318,Avenged Sevenfold,spotify:artist:0nmQIMXWTXfhgOBdNzhGOs
319,Ricardo Arjona,spotify:artist:0h1zs4CTlU9D2QtgPxptUD
320,Céline Dion,spotify:artist:4S9EykWXhStSc15wEx8QFK
321,Ninho,spotify:artist:6Te49r3A6f5BiIgBRxH7FH
322,Alejandro Sanz,spotify:artist:5sUrlPAHlS9NEirDB8SEbF
323,Lin-Manuel Miranda,spotify:artist:4aXXDj9aZnlshx7mzj3W1N
324,Ricky Martin,spotify:artist:7slfeZO9LsJbWgpkIoXBUJ
325,Jessie J,spotify:artist:2gsggkzM5R49q6jpPvazou
326,Lost Frequencies,spotify:artist:7f5Zgnp2spUuuzKplmRkt7
327,Danny Ocean,spotify:artist:5H1nN1SzW0qNeUEZvuXjAj
328,Maiara & Maraisa,spotify:artist:59jlthNnbmim5l9tmNA7se
329,Steve Aoki,spotify:artist:77AiFEVeAVj2ORpC85QVJs
330,Marc Anthony,spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6
331,H.E.R.,spotify:artist:3Y7RZ31TRPVadSFVy1o8os
332,Nelly,spotify:artist:2gBjLmx6zQnFGQJCAQpRgw
333,Charli XCX,spotify:artist:25uiPmTg16RbhZWAqwLBy5
334,Pablo Alborán,spotify:artist:5M9Bb4adKAgrOFOhc05Y50
335,2 Chainz,spotify:artist:17lzZA2AlOHwCwFALHttmp
336,Train,spotify:artist:3FUY2gzHeIiaesXtOAdB7A
337,Passenger,spotify:artist:0gadJ2b9A4SKsB1RFkBb66
338,Lukas Graham,spotify:artist:25u4wHJWxCA9vO0CzxAbK7
339,Mark Ronson,spotify:artist:3hv9jJF3adDNsBSIQDqcjp
340,CNCO,spotify:artist:0eecdvMrqBftK0M1VKhaF4
341,Foster The People,spotify:artist:7gP3bB2nilZXLfPHJhMdvc
342,Calum Scott,spotify:artist:6ydoSd3N2mwgwBHtF6K7eX
343,Dire Straits,spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T
344,Alec Benjamin,spotify:artist:5IH6FPUwQTxPSXurCrcIov
345,Daniel Caesar,spotify:artist:20wkVLutqVOYrc0kxFs7rA
346,Bee Gees,spotify:artist:1LZEQNv7sE11VDY3SdxQeN
347,Bryan Adams,spotify:artist:3Z02hBLubJxuFJfhacLSDc
348,Trey Songz,spotify:artist:2iojnBLj0qIMiKPvVhLnsH
349,Bob Dylan,spotify:artist:74ASZWbe4lXaubB36ztrGX
350,Grupo Firme,spotify:artist:7DicScso20Bic7AwWBgRGd
351,Armin van Buuren,spotify:artist:0SfsnGyD8FpIN4U4WCkBZ5
352,Rels B,spotify:artist:2IMZYfNi21MGqxopj9fWx8
353,Boyce Avenue,spotify:artist:7CQwac16i1W5ej8YpuL3dv
354,Pentatonix,spotify:artist:26AHtbjWKiwYzsoGoUZq53
355,Ski Mask The Slump God,spotify:artist:2rhFzFmezpnW82MNqEKVry
356,R3HAB,spotify:artist:6cEuCEZu7PAE9ZSzLLc2oQ
357,LANY,spotify:artist:49tQo2QULno7gxHutgccqF
358,PARTYNEXTDOOR,spotify:artist:2HPaUgqeutzr3jx5a9WyDV
359,La Arrolladora Banda El Limón De Rene Camacho,spotify:artist:5bSfBBCxY8QAk4Pifveisz
360,James Blunt,spotify:artist:7KMqksf0UMdyA0UCf4R3ux
361,The Police,spotify:artist:5NGO30tJxFlKixkPSgXcFE
362,Cage The Elephant,spotify:artist:26T3LtbuGT1Fu9m0eRq5X3
363,Fetty Wap,spotify:artist:6PXS4YHDkKvl1wkIl4V8DL
364,Jeremy Zucker,spotify:artist:3gIRvgZssIb9aiirIg0nI3
